Ticker,Name,Sector,Asset Class,As of Date,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
BTO,B2GOLD CORP,Materials,Equity,2024/8/30,"19,129,058.55",0.15,"19,129,058.55","5,047,245.00",3.79,Canada,Toronto Stock Exchange,CAD,1,CAD
GRT.UN,GRANITE REAL ESTATE INVESTMENT STA,Real Estate,Equity,2024/8/30,"18,692,285.20",0.14,"18,692,285.20","244,184.00",76.55,Canada,Toronto Stock Exchange,CAD,1,CAD
BYD,BOYD GROUP INCOME INC,Industrials,Equity,2024/8/30,"18,677,778.00",0.14,"18,677,778.00","83,175.00",224.56,Canada,Toronto Stock Exchange,CAD,1,CAD
PRMW,PRIMO WATER CORP,Consumer Staples,Equity,2024/8/30,"18,557,254.38",0.14,"18,557,254.38","622,309.00",29.82,Canada,Toronto Stock Exchange,CAD,1,CAD
ELD,ELDORADO GOLD CORP,Materials,Equity,2024/8/30,"18,336,899.62",0.14,"18,336,899.62","788,006.00",23.27,Canada,Toronto Stock Exchange,CAD,1,CAD
SJ,STELLA JONES INC,Materials,Equity,2024/8/30,"17,723,408.00",0.14,"17,723,408.00","190,985.00",92.8,Canada,Toronto Stock Exchange,CAD,1,CAD
OR,OSISKO GOLD ROYALTIES LTD,Materials,Equity,2024/8/30,"16,744,978.08",0.13,"16,744,978.08","719,286.00",23.28,Canada,Toronto Stock Exchange,CAD,1,CAD
HBM,HUDBAY MINERALS INC,Materials,Equity,2024/8/30,"16,546,145.00",0.13,"16,546,145.00","1,504,195.00",11,Canada,Toronto Stock Exchange,CAD,1,CAD
MX,METHANEX CORP,Materials,Equity,2024/8/30,"16,454,248.70",0.13,"16,454,248.70","261,386.00",62.95,Canada,Toronto Stock Exchange,CAD,1,CAD
ATZ,ARITZIA SUBORDINATE VOTING INC,Consumer Discretionary,Equity,2024/8/30,"16,257,303.30",0.13,"16,257,303.30","352,653.00",46.1,Canada,Toronto Stock Exchange,CAD,1,CAD
KXS,KINAXIS INC,Information Technology,Equity,2024/8/30,"16,163,655.76",0.12,"16,163,655.76","109,718.00",147.32,Canada,Toronto Stock Exchange,CAD,1,CAD
CU,CANADIAN UTILITIES LTD CLASS A,Utilities,Equity,2024/8/30,"16,161,220.00",0.12,"16,161,220.00","475,330.00",34,Canada,Toronto Stock Exchange,CAD,1,CAD
CHP.UN,CHOICE PROPERTIES REAL ESTATE INVE,Real Estate,Equity,2024/8/30,"15,566,221.22",0.12,"15,566,221.22","1,056,053.00",14.74,Canada,Toronto Stock Exchange,CAD,1,CAD
DFY,DEFINITY FINANCIAL CORP,Financials,Equity,2024/8/30,"15,469,100.00",0.12,"15,469,100.00","309,382.00",50,Canada,Toronto Stock Exchange,CAD,1,CAD
CSH.UN,CHARTWELL RETIREMENT RESIDENCES RE,Health Care,Equity,2024/8/30,"15,083,740.19",0.12,"15,083,740.19","1,033,841.00",14.59,Canada,Toronto Stock Exchange,CAD,1,CAD
DIR.UN,DREAM Industrials REAL ESTATE INVES,Real Estate,Equity,2024/8/30,"14,486,280.16",0.11,"14,486,280.16","1,062,044.00",13.64,Canada,Toronto Stock Exchange,CAD,1,CAD
NXE,NEXGEN ENERGY LTD,Energy,Equity,2024/8/30,"14,273,648.66",0.11,"14,273,648.66","1,760,006.00",8.11,Canada,Toronto Stock Exchange,CAD,1,CAD
FCR.UN,FIRST CAPITAL REALTY REAL ESTATE I,Real Estate,Equity,2024/8/30,"14,263,799.35",0.11,"14,263,799.35","822,121.00",17.35,Canada,Toronto Stock Exchange,CAD,1,CAD
IMG,IAMGOLD CORP,Materials,Equity,2024/8/30,"14,092,686.54",0.11,"14,092,686.54","2,116,019.00",6.66,Canada,Toronto Stock Exchange,CAD,1,CAD
GEI,GIBSON ENERGY INC,Energy,Equity,2024/8/30,"14,038,088.16",0.11,"14,038,088.16","631,209.00",22.24,Canada,Toronto Stock Exchange,CAD,1,CAD
DOO,BRP SUBORDINATE VOTING INC,Consumer Discretionary,Equity,2024/8/30,"13,988,744.28",0.11,"13,988,744.28","143,122.00",97.74,Canada,Toronto Stock Exchange,CAD,1,CAD
BEI.UN,BOARDWALK REAL ESTATE INVESTMENT T,Real Estate,Equity,2024/8/30,"13,536,068.70",0.1,"13,536,068.70","156,849.00",86.3,Canada,Toronto Stock Exchange,CAD,1,CAD
ACO.X,ATCO LTD CLASS I,Utilities,Equity,2024/8/30,"12,870,010.68",0.1,"12,870,010.68","283,044.00",45.47,Canada,Toronto Stock Exchange,CAD,1,CAD
SRU.UN,SMARTCENTRES RL ESTATE INVESTMENT,Real Estate,Equity,2024/8/30,"12,651,315.62",0.1,"12,651,315.62","495,353.00",25.54,Canada,Toronto Stock Exchange,CAD,1,CAD
